order_id,order_date,customer_id,product_id,store_id,campaign_id,sales_channel,quantity,unit_price,discount_pct,gross_sales,net_sales,total_cost,shipping_fee,payment_method
O10044,2025-10-02,CU0487,P013,S008,C000,Online,2,138.7,0.05,292,277.4,126,3.25,PayPal
O10045,2025-07-11,CU0673,P005,S006,C000,Store,1,149,0,149,149,66,0,Debit
O10046,2024-09-14,CU0713,P001,S008,C000,Online,1,129,0,129,129,56,10.75,PayPal
O10047,2025-07-24,CU0382,P018,S008,C000,Online,2,79,0,158,158,62,4.28,Debit
O10048,2024-09-07,CU0620,P013,S005,C000,Store,1,124.1,0.15,146,124.1,63,0,Apple Pay
O10049,2024-04-21,CU0537,P012,S006,C000,Store,1,124,0,124,124,49,0,Gift Card
O10050,2025-09-09,CU0507,P007,S008,C000,Online,3,124.2,0.1,414,372.6,183,6.19,Debit
O10051,2025-06-28,CU0549,P014,S002,C303,Store,1,55.1,0.05,58,55.1,21,0,Credit Card
O10052,2023-07-23,CU0181,P015,S004,C102,Click & Collect,1,39,0,39,39,13,0,Apple Pay
O10053,2024-01-25,CU0507,P008,S008,C000,Online,2,34,0,68,68,24,2.74,Credit Card
O10054,2025-12-03,CU0283,P016,S004,C000,Click & Collect,2,259,0,518,518,264,0,Credit Card
O10055,2025-12-23,CU0060,P013,S003,C000,Store,2,131.4,0.1,292,262.8,126,0,Credit Card
O10056,2024-06-02,CU0678,P017,S003,C202,Store,1,100.8,0.1,112,100.8,48,0,Debit
O10057,2023-09-21,CU0330,P001,S007,C000,Store,2,109.65,0.15,258,219.3,112,0,Credit Card
O10058,2023-10-22,CU0680,P017,S006,C000,Store,1,112,0,112,112,48,0,Debit
O10059,2023-11-30,CU0047,P002,S008,C103,Online,2,74,0,148,148,56,2.23,Credit Card
O10060,2024-06-24,CU0055,P005,S008,C000,Online,1,134.1,0.1,149,134.1,66,10.14,Credit Card
O10061,2023-04-29,CU0019,P005,S008,C101,Online,1,126.65,0.15,149,126.65,66,2.19,Debit
O10062,2023-11-22,CU0178,P004,S008,C103,Online,1,87.4,0.05,92,87.4,38,5.64,Apple Pay
O10063,2023-06-27,CU0163,P005,S003,C000,Store,1,126.65,0.15,149,126.65,66,0,Credit Card
O10064,2025-09-02,CU0697,P017,S001,C000,Associate Order,2,112,0,224,224,96,0,Credit Card
O10065,2025-08-04,CU0557,P017,S008,C000,Online,1,112,0,112,112,48,10.53,Credit Card
O10066,2023-12-26,CU0642,P012,S007,C000,Store,2,124,0,248,248,98,0,Credit Card
O10067,2025-04-16,CU0603,P010,S003,C302,Associate Order,3,29,0,87,87,27,0,Credit Card
O10068,2024-09-19,CU0652,P012,S007,C000,Store,1,99.2,0.2,124,99.2,49,0,Debit
O10069,2024-03-20,CU0567,P010,S008,C000,Online,3,23.2,0.2,87,69.6,27,5.11,PayPal
O10070,2025-07-21,CU0059,P008,S008,C000,Online,3,30.6,0.1,102,91.8,36,4.09,Gift Card
O10071,2024-01-06,CU0617,P010,S007,C000,Associate Order,3,26.1,0.1,87,78.3,27,0,Gift Card
O10072,2025-12-14,CU0703,P013,S004,C000,Store,2,138.7,0.05,292,277.4,126,0,Debit
O10073,2025-10-07,CU0474,P016,S006,C000,Store,2,207.2,0.2,518,414.4,264,0,PayPal
O10074,2023-09-12,CU0351,P016,S005,C000,Click & Collect,2,233.1,0.1,518,466.2,264,0,Debit
O10075,2024-05-14,CU0358,P001,S008,C202,Online,2,109.65,0.15,258,219.3,112,6.66,Credit Card
O10076,2025-04-03,CU0034,P002,S001,C302,Store,1,66.6,0.1,74,66.6,28,0,Debit
O10077,2025-03-30,CU0407,P001,S002,C000,Click & Collect,2,103.2,0.2,258,206.4,112,0,Credit Card
O10078,2024-08-19,CU0518,P010,S006,C000,Store,2,26.1,0.1,58,52.2,18,0,Credit Card
O10079,2024-09-19,CU0466,P007,S003,C000,Store,3,124.2,0.1,414,372.6,183,0,Credit Card
O10080,2025-04-10,CU0469,P007,S002,C302,Store,3,138,0,414,414,183,0,Credit Card
O10081,2023-03-25,CU0361,P004,S003,C000,Store,1,87.4,0.05,92,87.4,38,0,Credit Card
O10082,2024-04-22,CU0122,P003,S004,C000,Store,1,88,0,88,88,34,0,Credit Card
O10083,2023-05-19,CU0409,P016,S008,C000,Online,2,259,0,518,518,264,9.34,Credit Card
O10084,2023-11-15,CU0074,P001,S008,C000,Online,2,109.65,0.15,258,219.3,112,5.48,Credit Card
O10085,2024-06-29,CU0336,P008,S004,C202,Store,3,27.2,0.2,102,81.6,36,0,Credit Card
O10086,2025-06-29,CU0326,P003,S002,C303,Store,1,61.6,0.3,88,61.6,34,0,Credit Card
O10087,2024-04-29,CU0477,P002,S004,C000,Store,1,59.2,0.2,74,59.2,28,0,Debit
O10088,2025-11-21,CU0073,P018,S006,C000,Click & Collect,2,67.15,0.15,158,134.3,62,0,Apple Pay
O10089,2025-09-08,CU0678,P016,S008,C000,Online,1,220.15,0.15,259,220.15,132,6.48,Debit
O10090,2025-12-04,CU0360,P004,S007,C000,Store,2,92,0,184,184,76,0,Credit Card
O10091,2023-01-10,CU0420,P003,S005,C000,Store,1,88,0,88,88,34,0,Debit
O10092,2025-08-14,CU0167,P017,S008,C000,Online,2,112,0,224,224,96,8.39,Credit Card
O10093,2024-11-05,CU0567,P006,S003,C000,Click & Collect,3,107.1,0.1,357,321.3,156,0,Credit Card
O10094,2024-02-07,CU0488,P002,S004,C201,Store,1,59.2,0.2,74,59.2,28,0,Debit
O10095,2023-09-19,CU0613,P007,S008,C000,Online,2,138,0,276,276,122,9.06,Credit Card
O10096,2025-04-05,CU0164,P003,S001,C302,Click & Collect,2,88,0,176,176,68,0,Debit
O10097,2025-06-10,CU0102,P015,S008,C000,Online,1,39,0,39,39,13,6.87,Apple Pay
O10098,2024-10-14,CU0428,P015,S008,C000,Online,1,39,0,39,39,13,6.25,PayPal
O10099,2024-12-25,CU0161,P012,S008,C204,Online,1,105.4,0.15,124,105.4,49,10.48,Debit
O10100,2025-03-02,CU0130,P004,S007,C000,Store,2,82.8,0.1,184,165.6,76,0,Credit Card
O10101,2024-09-05,CU0143,P012,S007,C203,Store,1,105.4,0.15,124,105.4,49,0,Credit Card
O10102,2023-05-28,CU0217,P014,S008,C000,Online,2,58,0,116,116,42,4.24,Credit Card
O10103,2023-07-21,CU0282,P001,S005,C102,Store,1,116.1,0.1,129,116.1,56,0,Credit Card
O10104,2025-04-29,CU0501,P002,S007,C000,Store,1,74,0,74,74,28,0,Credit Card
O10105,2024-07-10,CU0252,P013,S005,C000,Associate Order,1,116.8,0.2,146,116.8,63,0,PayPal
O10106,2025-10-20,CU0119,P004,S008,C000,Online,1,92,0,92,92,38,6.08,Debit
O10107,2023-05-21,CU0608,P002,S003,C000,Store,1,66.6,0.1,74,66.6,28,0,Debit
O10108,2024-09-15,CU0052,P016,S008,C203,Online,2,207.2,0.2,518,414.4,264,7.17,Apple Pay
O10109,2024-11-03,CU0448,P010,S004,C000,Store,2,29,0,58,58,18,0,Credit Card
O10110,2024-12-29,CU0328,P014,S001,C204,Store,2,58,0,116,116,42,0,Credit Card
O10111,2023-06-10,CU0242,P002,S003,C102,Store,1,70.3,0.05,74,70.3,28,0,Credit Card
O10112,2025-08-27,CU0491,P005,S006,C000,Click & Collect,2,149,0,298,298,132,0,PayPal
O10113,2025-05-14,CU0234,P003,S007,C000,Store,1,83.6,0.05,88,83.6,34,0,Credit Card
O10114,2024-05-15,CU0656,P012,S007,C202,Store,1,117.8,0.05,124,117.8,49,0,Debit
O10115,2024-11-15,CU0215,P014,S008,C000,Online,1,55.1,0.05,58,55.1,21,7.71,Credit Card
O10116,2025-10-02,CU0089,P009,S008,C000,Online,3,20.4,0.15,72,61.2,24,11.29,Gift Card
O10117,2024-05-22,CU0069,P014,S008,C000,Online,1,58,0,58,58,21,10.81,Gift Card
O10118,2025-10-07,CU0548,P001,S008,C000,Online,1,129,0,129,129,56,5.65,Gift Card
O10119,2023-11-26,CU0070,P004,S005,C103,Store,2,64.4,0.3,184,128.8,76,0,Credit Card
O10120,2025-09-13,CU0105,P010,S001,C000,Click & Collect,2,29,0,58,58,18,0,PayPal
O10121,2024-07-23,CU0591,P014,S002,C000,Store,2,52.2,0.1,116,104.4,42,0,Credit Card
O10122,2024-07-13,CU0548,P007,S001,C000,Store,3,117.3,0.15,414,351.9,183,0,Apple Pay
O10123,2023-06-20,CU0340,P016,S004,C102,Store,1,246.05,0.05,259,246.05,132,0,Credit Card
O10124,2023-10-26,CU0002,P004,S001,C000,Store,2,92,0,184,184,76,0,Gift Card
O10125,2023-10-07,CU0264,P001,S006,C000,Click & Collect,2,129,0,258,258,112,0,Debit
O10126,2025-04-27,CU0023,P002,S008,C000,Online,2,70.3,0.05,148,140.6,56,8.95,Debit
O10127,2025-10-22,CU0548,P017,S008,C000,Online,2,100.8,0.1,224,201.6,96,6.01,PayPal
O10128,2024-01-31,CU0641,P009,S006,C000,Store,2,24,0,48,48,16,0,Credit Card
O10129,2023-06-04,CU0222,P001,S008,C000,Online,2,129,0,258,258,112,5.45,Debit
O10130,2023-07-23,CU0450,P013,S008,C102,Online,2,124.1,0.15,292,248.2,126,10.32,Apple Pay
O10131,2023-02-13,CU0459,P013,S006,C000,Store,2,146,0,292,292,126,0,Credit Card
O10132,2024-02-27,CU0465,P014,S007,C000,Store,1,58,0,58,58,21,0,Credit Card
O10133,2025-06-16,CU0331,P007,S008,C000,Online,3,117.3,0.15,414,351.9,183,8.54,Credit Card
O10134,2025-11-13,CU0101,P002,S008,C000,Online,2,74,0,148,148,56,4.35,Credit Card
O10135,2025-12-17,CU0058,P014,S008,C000,Online,1,55.1,0.05,58,55.1,21,8.74,Credit Card
O10136,2023-02-24,CU0009,P008,S007,C000,Store,3,34,0,102,102,36,0,Credit Card
O10137,2023-05-06,CU0206,P012,S006,C000,Associate Order,2,124,0,248,248,98,0,Credit Card
O10138,2024-01-30,CU0405,P002,S008,C000,Online,2,59.2,0.2,148,118.4,56,5.16,Debit
O10139,2024-02-20,CU0082,P014,S003,C201,Click & Collect,2,58,0,116,116,42,0,PayPal
O10140,2023-10-05,CU0486,P014,S003,C000,Store,1,55.1,0.05,58,55.1,21,0,Credit Card
O10141,2023-02-19,CU0671,P007,S008,C000,Online,3,117.3,0.15,414,351.9,183,5.76,Debit
O10142,2024-08-05,CU0338,P018,S002,C000,Click & Collect,2,79,0,158,158,62,0,Credit Card
O10143,2023-05-09,CU0678,P001,S007,C000,Click & Collect,2,129,0,258,258,112,0,Apple Pay
O10144,2025-07-21,CU0097,P002,S008,C000,Online,2,74,0,148,148,56,8.9,Credit Card
O10145,2024-12-19,CU0478,P008,S008,C204,Online,5,34,0,170,170,60,9.18,Credit Card
O10146,2023-08-08,CU0053,P013,S007,C000,Click & Collect,2,146,0,292,292,126,0,Apple Pay
O10147,2025-03-05,CU0275,P011,S005,C000,Store,1,151.2,0.1,168,151.2,74,0,Credit Card
O10148,2025-09-07,CU0260,P008,S005,C000,Associate Order,2,30.6,0.1,68,61.2,24,0,Debit
O10149,2023-07-30,CU0704,P017,S002,C102,Store,1,100.8,0.1,112,100.8,48,0,Debit
O10150,2024-11-08,CU0545,P005,S007,C204,Store,2,141.55,0.05,298,283.1,132,0,PayPal
O10151,2025-09-19,CU0246,P004,S001,C000,Store,1,92,0,92,92,38,0,Credit Card
O10152,2025-03-24,CU0661,P012,S001,C000,Associate Order,1,105.4,0.15,124,105.4,49,0,Credit Card
O10153,2024-04-17,CU0316,P007,S004,C000,Store,2,124.2,0.1,276,248.4,122,0,Credit Card
O10154,2023-09-07,CU0005,P017,S004,C000,Store,1,100.8,0.1,112,100.8,48,0,Credit Card
O10155,2025-11-29,CU0478,P018,S007,C000,Store,2,79,0,158,158,62,0,Credit Card
O10156,2024-07-21,CU0183,P008,S001,C000,Store,3,30.6,0.1,102,91.8,36,0,Credit Card
O10157,2023-11-07,CU0435,P006,S005,C103,Store,2,113.05,0.05,238,226.1,104,0,Credit Card
O10158,2024-06-26,CU0661,P017,S007,C202,Click & Collect,1,100.8,0.1,112,100.8,48,0,PayPal
O10159,2025-04-09,CU0635,P002,S003,C302,Click & Collect,1,66.6,0.1,74,66.6,28,0,Credit Card
O10160,2025-08-02,CU0129,P012,S007,C000,Store,1,117.8,0.05,124,117.8,49,0,Credit Card
O10161,2023-08-12,CU0633,P018,S008,C000,Online,1,75.05,0.05,79,75.05,31,6.6,Apple Pay
O10162,2025-12-06,CU0422,P009,S005,C000,Click & Collect,2,21.6,0.1,48,43.2,16,0,Credit Card
O10163,2024-12-12,CU0554,P014,S007,C000,Associate Order,2,46.4,0.2,116,92.8,42,0,PayPal
O10164,2024-10-29,CU0577,P004,S005,C000,Store,1,82.8,0.1,92,82.8,38,0,Credit Card
O10165,2024-03-27,CU0568,P010,S008,C000,Online,1,20.3,0.3,29,20.3,9,7.49,Credit Card
O10166,2024-07-11,CU0143,P001,S005,C000,Click & Collect,2,129,0,258,258,112,0,PayPal
O10167,2025-04-11,CU0476,P016,S006,C302,Store,2,246.05,0.05,518,492.1,264,0,Apple Pay
O10168,2024-01-23,CU0449,P001,S007,C000,Click & Collect,2,116.1,0.1,258,232.2,112,0,Gift Card
O10169,2023-01-07,CU0025,P005,S008,C000,Online,2,141.55,0.05,298,283.1,132,4.42,Credit Card
O10170,2025-01-29,CU0061,P009,S002,C000,Store,2,24,0,48,48,16,0,Credit Card
O10171,2024-12-08,CU0261,P011,S008,C000,Online,2,168,0,336,336,148,11.74,Gift Card
O10172,2023-11-11,CU0051,P015,S008,C103,Online,2,39,0,78,78,26,8.78,Debit
O10173,2025-10-17,CU0465,P007,S008,C000,Online,2,110.4,0.2,276,220.8,122,5.37,Debit
O10174,2023-12-24,CU0255,P018,S002,C000,Store,1,79,0,79,79,31,0,Credit Card
O10175,2025-06-16,CU0379,P009,S008,C000,Online,2,22.8,0.05,48,45.6,16,6.78,Credit Card
O10176,2025-09-30,CU0003,P002,S008,C000,Online,2,74,0,148,148,56,9.1,Debit
O10177,2025-09-12,CU0468,P015,S003,C000,Store,2,39,0,78,78,26,0,Credit Card
O10178,2025-10-05,CU0635,P008,S005,C000,Store,2,32.3,0.05,68,64.6,24,0,PayPal
O10179,2023-05-19,CU0681,P011,S008,C000,Online,2,168,0,336,336,148,5.49,Credit Card
O10180,2023-12-19,CU0162,P003,S006,C000,Click & Collect,2,70.4,0.2,176,140.8,68,0,Apple Pay
O10181,2023-10-16,CU0474,P018,S001,C000,Store,2,75.05,0.05,158,150.1,62,0,Credit Card
O10182,2025-08-05,CU0537,P017,S001,C000,Click & Collect,2,112,0,224,224,96,0,PayPal
O10183,2023-09-22,CU0318,P001,S005,C000,Store,1,129,0,129,129,56,0,Credit Card
O10184,2024-04-22,CU0161,P006,S002,C000,Associate Order,3,119,0,357,357,156,0,PayPal
O10185,2024-10-10,CU0616,P004,S008,C000,Online,1,64.4,0.3,92,64.4,38,8.51,Credit Card
O10186,2023-04-13,CU0344,P004,S001,C000,Associate Order,1,92,0,92,92,38,0,Credit Card
O10187,2024-09-17,CU0614,P008,S001,C203,Store,3,34,0,102,102,36,0,Credit Card
O10188,2023-06-09,CU0411,P017,S006,C102,Store,1,112,0,112,112,48,0,Credit Card
O10189,2024-10-14,CU0190,P005,S007,C000,Store,2,149,0,298,298,132,0,Credit Card
O10190,2023-01-12,CU0348,P004,S005,C000,Associate Order,1,78.2,0.15,92,78.2,38,0,Gift Card
O10191,2024-06-11,CU0080,P006,S003,C000,Associate Order,3,107.1,0.1,357,321.3,156,0,Apple Pay
O10192,2024-02-25,CU0459,P015,S002,C201,Click & Collect,1,39,0,39,39,13,0,Debit
O10193,2024-11-29,CU0041,P009,S004,C204,Store,3,21.6,0.1,72,64.8,24,0,PayPal
O10194,2024-12-31,CU0211,P004,S006,C204,Store,2,87.4,0.05,184,174.8,76,0,PayPal
O10195,2023-03-26,CU0055,P004,S008,C101,Online,1,92,0,92,92,38,4.65,Credit Card
O10196,2024-10-04,CU0691,P003,S008,C000,Online,1,88,0,88,88,34,10.58,Credit Card
O10197,2023-09-30,CU0065,P010,S008,C000,Online,3,29,0,87,87,27,8.95,Credit Card
O10198,2023-04-27,CU0085,P016,S008,C101,Online,2,246.05,0.05,518,492.1,264,4.73,Credit Card
O10199,2023-03-13,CU0093,P008,S002,C101,Click & Collect,2,34,0,68,68,24,0,Credit Card
O10200,2023-01-06,CU0298,P003,S006,C000,Associate Order,2,88,0,176,176,68,0,Credit Card
O10201,2024-12-13,CU0690,P011,S007,C000,Click & Collect,2,151.2,0.1,336,302.4,148,0,Credit Card
O10202,2025-03-06,CU0550,P010,S002,C000,Click & Collect,3,26.1,0.1,87,78.3,27,0,Credit Card
O10203,2023-03-01,CU0712,P017,S008,C000,Online,1,106.4,0.05,112,106.4,48,8.79,Credit Card
O10204,2025-06-26,CU0250,P001,S005,C303,Click & Collect,2,122.55,0.05,258,245.1,112,0,Credit Card
O10205,2023-05-30,CU0575,P007,S007,C000,Click & Collect,1,138,0,138,138,61,0,Credit Card
O10206,2023-12-20,CU0036,P002,S003,C103,Store,2,62.9,0.15,148,125.8,56,0,Credit Card
O10207,2025-03-05,CU0682,P012,S008,C000,Online,2,124,0,248,248,98,6.52,Credit Card
O10208,2025-12-06,CU0474,P018,S008,C000,Online,2,71.1,0.1,158,142.2,62,5.33,Credit Card
O10209,2024-02-14,CU0104,P014,S001,C201,Store,1,58,0,58,58,21,0,PayPal
O10210,2025-08-26,CU0077,P013,S004,C000,Store,1,146,0,146,146,63,0,Credit Card
O10211,2025-11-01,CU0374,P008,S008,C000,Online,3,34,0,102,102,36,4.12,PayPal
O10212,2024-01-06,CU0042,P004,S008,C000,Online,1,92,0,92,92,38,7.66,Credit Card
O10213,2023-11-29,CU0031,P002,S001,C000,Store,2,74,0,148,148,56,0,Debit
O10214,2023-09-20,CU0050,P006,S003,C000,Click & Collect,2,119,0,238,238,104,0,Credit Card
O10215,2025-05-11,CU0473,P002,S003,C000,Store,1,74,0,74,74,28,0,PayPal
O10216,2025-11-18,CU0569,P006,S008,C000,Online,3,119,0,357,357,156,5.03,Debit
O10217,2025-05-25,CU0355,P015,S002,C000,Store,1,31.2,0.2,39,31.2,13,0,Credit Card
O10218,2023-09-26,CU0298,P002,S008,C000,Online,2,66.6,0.1,148,133.2,56,7.97,Debit
O10219,2024-12-12,CU0346,P018,S003,C204,Store,2,79,0,158,158,62,0,Debit
O10220,2025-08-11,CU0299,P013,S008,C000,Online,1,138.7,0.05,146,138.7,63,3,Credit Card
O10221,2025-03-20,CU0257,P016,S003,C302,Click & Collect,1,259,0,259,259,132,0,PayPal
O10222,2025-05-08,CU0428,P016,S008,C000,Online,2,259,0,518,518,264,5.97,Debit
O10223,2025-02-08,CU0402,P018,S008,C301,Online,2,79,0,158,158,62,6.25,Debit
O10224,2023-10-09,CU0004,P003,S004,C000,Store,1,79.2,0.1,88,79.2,34,0,PayPal
O10225,2024-07-01,CU0148,P013,S001,C000,Associate Order,1,131.4,0.1,146,131.4,63,0,PayPal
O10226,2024-11-26,CU0443,P017,S005,C000,Click & Collect,2,112,0,224,224,96,0,Credit Card
O10227,2024-04-02,CU0426,P017,S004,C000,Click & Collect,2,106.4,0.05,224,212.8,96,0,Gift Card
O10228,2024-06-09,CU0534,P012,S005,C000,Store,2,124,0,248,248,98,0,Credit Card
O10229,2023-11-20,CU0588,P013,S008,C000,Online,1,146,0,146,146,63,7.94,Debit
O10230,2023-04-05,CU0504,P013,S002,C000,Store,1,146,0,146,146,63,0,PayPal
O10231,2024-11-08,CU0150,P013,S006,C204,Store,2,131.4,0.1,292,262.8,126,0,Debit
O10232,2024-08-18,CU0543,P013,S001,C203,Associate Order,2,146,0,292,292,126,0,Gift Card
O10233,2023-10-12,CU0005,P006,S006,C000,Click & Collect,3,101.15,0.15,357,303.45,156,0,Debit
O10234,2023-09-08,CU0357,P018,S006,C000,Store,2,79,0,158,158,62,0,Apple Pay
O10235,2025-03-22,CU0237,P005,S008,C000,Online,2,141.55,0.05,298,283.1,132,8.32,Debit
O10236,2023-05-27,CU0128,P018,S002,C000,Store,2,79,0,158,158,62,0,Credit Card
O10237,2023-06-13,CU0655,P017,S008,C000,Online,2,112,0,224,224,96,7.96,Gift Card
O10238,2025-08-18,CU0298,P014,S008,C000,Online,1,52.2,0.1,58,52.2,21,11.91,Debit
O10239,2023-07-11,CU0193,P014,S005,C000,Store,1,58,0,58,58,21,0,Apple Pay
O10240,2025-03-13,CU0602,P012,S001,C000,Store,2,124,0,248,248,98,0,Credit Card
O10241,2025-05-30,CU0348,P010,S004,C000,Store,3,27.55,0.05,87,82.65,27,0,Apple Pay
O10242,2024-08-23,CU0606,P001,S005,C000,Store,2,109.65,0.15,258,219.3,112,0,Debit
O10243,2024-03-05,CU0453,P004,S006,C000,Store,2,92,0,184,184,76,0,Credit Card
O10244,2023-06-14,CU0313,P017,S006,C000,Store,2,112,0,224,224,96,0,Debit
O10245,2025-06-20,CU0326,P015,S006,C303,Store,2,27.3,0.3,78,54.6,26,0,Gift Card
O10246,2024-10-25,CU0150,P014,S006,C000,Associate Order,2,55.1,0.05,116,110.2,42,0,PayPal
O10247,2023-11-24,CU0396,P001,S005,C000,Associate Order,2,116.1,0.1,258,232.2,112,0,Credit Card
O10248,2023-09-11,CU0465,P012,S005,C000,Associate Order,1,105.4,0.15,124,105.4,49,0,Debit
O10249,2024-03-14,CU0592,P007,S005,C000,Store,2,131.1,0.05,276,262.2,122,0,Apple Pay
O10250,2023-11-20,CU0053,P009,S008,C000,Online,3,24,0,72,72,24,6.07,Debit
O10251,2024-11-18,CU0434,P007,S005,C204,Click & Collect,3,117.3,0.15,414,351.9,183,0,Apple Pay
O10252,2023-05-19,CU0249,P006,S002,C000,Associate Order,1,119,0,119,119,52,0,Credit Card
O10253,2023-07-13,CU0719,P012,S008,C000,Online,1,124,0,124,124,49,4.73,Credit Card
O10254,2024-04-17,CU0668,P011,S002,C000,Store,1,168,0,168,168,74,0,Credit Card
O10255,2024-11-25,CU0683,P017,S005,C204,Store,2,112,0,224,224,96,0,Credit Card
O10256,2025-01-13,CU0642,P011,S007,C000,Store,2,142.8,0.15,336,285.6,148,0,Debit
O10257,2024-10-22,CU0252,P004,S001,C000,Store,2,82.8,0.1,184,165.6,76,0,Debit
O10258,2024-02-26,CU0334,P017,S006,C000,Store,2,106.4,0.05,224,212.8,96,0,Debit
O10259,2024-03-03,CU0696,P001,S001,C000,Click & Collect,2,122.55,0.05,258,245.1,112,0,Credit Card
O10260,2025-08-18,CU0674,P001,S002,C000,Store,1,90.3,0.3,129,90.3,56,0,Credit Card
O10261,2023-06-07,CU0691,P017,S002,C102,Store,1,106.4,0.05,112,106.4,48,0,Debit
O10262,2025-02-22,CU0584,P008,S008,C000,Online,2,34,0,68,68,24,5.48,Credit Card
O10263,2023-12-22,CU0224,P018,S008,C103,Online,2,75.05,0.05,158,150.1,62,10.13,Credit Card
O10264,2024-01-15,CU0008,P015,S006,C000,Associate Order,1,39,0,39,39,13,0,Credit Card
